,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0, Andheri ,19.1196976,72.8464205,Merwans Cake shop,19.119300215885474,72.84541776016009,Bakery
1, Andheri ,19.1196976,72.8464205,McDonald's,19.119691210789103,72.84610244862697,Fast Food Restaurant
2, Andheri ,19.1196976,72.8464205,Radha Krishna Veg Restaurant,19.115130144160013,72.84305962889206,Indian Restaurant
3, Andheri ,19.1196976,72.8464205,Narayan Sandwich,19.121397691078766,72.85027035501028,Sandwich Place
4, Andheri ,19.1196976,72.8464205,Shawarma Factory,19.124590572173467,72.8403981304492,Falafel Restaurant
5, Andheri ,19.1196976,72.8464205,Temptations,19.113767032154076,72.84133700180305,Ice Cream Shop
6, Andheri ,19.1196976,72.8464205,Zouk,19.118445744847815,72.85069835645007,Lounge
7, Andheri ,19.1196976,72.8464205,McDonald's,19.118411320142545,72.8480016858093,Burger Joint
8, Andheri ,19.1196976,72.8464205,Cafe Alfa,19.119666991815816,72.84355993227075,Indian Restaurant
9, Andheri ,19.1196976,72.8464205,Sarvodaya Veg. Restaurant,19.12375959553322,72.85089307715918,Indian Restaurant
10, Andheri ,19.1196976,72.8464205,Shoppers Stop,19.11493494337611,72.84270811004234,Department Store
11, Andheri ,19.1196976,72.8464205,Domino's Pizza,19.11449,72.85015,Pizza Place
12, Andheri ,19.1196976,72.8464205,Vaibhav Restaurant,19.11823509883163,72.84799100142833,Indian Restaurant
13, Andheri ,19.1196976,72.8464205,Hotel Suba Galaxy,19.114408849516508,72.85185155189545,Hotel
14, Andheri ,19.1196976,72.8464205,Radha Krishna (RK),19.114568413459992,72.8427579462815,Vegetarian / Vegan Restaurant
15, Andheri ,19.1196976,72.8464205,Amar Restaurant,19.118192647665587,72.84521005339889,Restaurant
16, Andheri ,19.1196976,72.8464205,Barista Lavazza,19.113872320735627,72.84182105623626,Café
17, Andheri ,19.1196976,72.8464205,Aditi Fast Food,19.119398684058233,72.84594856552152,Food Court
18, Andheri ,19.1196976,72.8464205,Subway,19.1278600430168,72.84446095143547,Sandwich Place
19, Andheri ,19.1196976,72.8464205,Egg Bhurji,19.11989832551097,72.84627813591543,Food
20, Andheri ,19.1196976,72.8464205,Regency,19.11381682204743,72.85281826610498,Chinese Restaurant
21, Andheri ,19.1196976,72.8464205,Havmor Ice-cream Parlor,19.120044094602992,72.85160387846267,Ice Cream Shop
22, Andheri ,19.1196976,72.8464205,Cafe Coffee Day,19.127748138225197,72.84466295105099,Coffee Shop
23, Andheri ,19.1196976,72.8464205,Shot Snooker Club,19.120031866666665,72.83953736666666,Athletics & Sports
24, Andheri ,19.1196976,72.8464205,Canon India Pvt. Ltd.,19.116400070471503,72.85504308726121,Camera Store
25, Andheri ,19.1196976,72.8464205,NEXA,19.112747,72.848213,Auto Workshop
26, Andheri ,19.1196976,72.8464205,Classic Chinese,19.127929290111343,72.8439926574258,Chinese Restaurant
27, Andheri ,19.1196976,72.8464205,Gelato Italiano,19.128120193094414,72.844154207953,Ice Cream Shop
28, Andheri ,19.1196976,72.8464205,Hotel JK Regency,19.11960200372634,72.85575094737561,Hotel
29, Bandra ,19.0549792,72.8402203,Coalz,19.05646827674503,72.83915374587166,Café
30, Bandra ,19.0549792,72.8402203,Escobar,19.0601765440514,72.83644615761388,Lounge
31, Bandra ,19.0549792,72.8402203,National Restaurant,19.056545673443438,72.83914131362513,Indian Restaurant
32, Bandra ,19.0549792,72.8402203,Heng Bok,19.05916301268284,72.83754654651213,Korean Restaurant
33, Bandra ,19.0549792,72.8402203,Persian Darbar,19.060322757115504,72.83648146121492,Indian Restaurant
34, Bandra ,19.0549792,72.8402203,Golconda Bowl,19.055976521810276,72.83418851936942,Indian Restaurant
35, Bandra ,19.0549792,72.8402203,Chocolateria San Churro,19.061917933615774,72.83447969968148,Dessert Shop
36, Bandra ,19.0549792,72.8402203,MIG Cricket Club,19.057460617781775,72.84770643608498,Sports Club
37, Bandra ,19.0549792,72.8402203,Hakkasan,19.060594191664677,72.83442818722021,Asian Restaurant
38, Bandra ,19.0549792,72.8402203,Godrej Nature's Basket,19.055509463847304,72.83193507717596,Gourmet Shop
39, Bandra ,19.0549792,72.8402203,Almeida Park,19.057656373506948,72.83154140498996,Park
40, Bandra ,19.0549792,72.8402203,Elco Veg Restaurant,19.055791372778778,72.83325257128638,Snack Place
41, Bandra ,19.0549792,72.8402203,Le Rêve (Globus Cinema),19.056014292525585,72.8339514796647,Indie Movie Theater
42, Bandra ,19.0549792,72.8402203,The Daily,19.060917044976662,72.83706983720943,Pub
43, Bandra ,19.0549792,72.8402203,Nature's Basket,19.05553322824323,72.83177797317528,Gourmet Shop
44, Bandra ,19.0549792,72.8402203,The Coffee Bean & Tea Leaf,19.061862835313942,72.83587397937023,Café
45, Bandra ,19.0549792,72.8402203,Karachi sweets n chaat,19.05512351190259,72.83149909194438,Snack Place
46, Bandra ,19.0549792,72.8402203,Barbeque Nation,19.056236459180184,72.8341671323342,BBQ Joint
47, Bandra ,19.0549792,72.8402203,Elco Chat Corner,19.055762166881593,72.83321593299348,Indian Restaurant
48, Bandra ,19.0549792,72.8402203,Lucky Restaurant,19.05404467914935,72.8377121643924,Indian Restaurant
49, Bandra ,19.0549792,72.8402203,Jai Hind,19.05606490713528,72.83488535462942,Seafood Restaurant
