,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Pazhaverkadu ,13.4176606,80.3166702,Pazhaverkadu@pulicat,13.416587812944785,80.31645298004149,Surf Spot
1,Ponneri ,13.336164,80.1948281,New Sri Balaji Cafe,13.336514,80.19387,Tea Room
2,Ponneri ,13.336164,80.1948281,iGene Protien Centre,13.329135627644805,80.19679892766428,Indian Restaurant
3,Ponneri ,13.336164,80.1948281,Ponneri Railway Station,13.330971366415955,80.20074333208177,Train Station
4,Athipattu ,13.2488,80.3046,Attipattu Pudunagar,13.251696349724494,80.29813491951968,Platform
5,Sholavaram ,13.2387775,80.1622181,Apollo Pharmacy,13.2387719,80.1588927,Pharmacy
6,Sholavaram ,13.2387775,80.1622181,A2b - Redhills 2 Periyapalayam Road,13.231144,80.16083,Indian Sweet Shop
7,Sholavaram ,13.2387775,80.1622181,Sekar Cool Bar,13.230975,80.163747,Tea Room
8,Minjur ,13.2786146,80.2577671,Minjur,13.277504148103645,80.26011067932014,Scenic Lookout
9,Minjur ,13.2786146,80.2577671,New Vasantha Bhavan,13.278921127319336,80.2605209350586,Indian Restaurant
10,Minjur ,13.2786146,80.2577671,Indian Bank ATM,13.281243,80.25685,ATM
11,Minjur ,13.2786146,80.2577671,Minjur Railway Station,13.281331946095959,80.26026311518088,Train Station
12,Red Hills ,13.175295,80.2031341,MedPlus,13.17135,80.20046,Pharmacy
13,Red Hills ,13.175295,80.2031341,Hotel New DHARBAR,13.169634,80.20005,Restaurant
14,Ennore,13.2258262,80.3243551,Athipattu Pudhunagar,13.219301249161335,80.32160169247761,Train Station
15,Ennore,13.2258262,80.3243551,darron wood carving works,13.219099066442173,80.32025098800659,Art Gallery
16,Ennore,13.2258262,80.3243551,Ennore MRTS Station,13.218054609086712,80.3217315673828,Train Station
17,Ennore,13.2258262,80.3243551,Ennore Rail Station,13.217603402125905,80.32147407531738,Train Station
18,Avadi ,13.1182744,80.1015427,Avadi Railway Station,13.118195102188725,80.10206225115353,Train Station
19,Avadi ,13.1182744,80.1015427,Ayyaar Bawan,13.117918113271811,80.1015986407193,Indian Restaurant
20,Avadi ,13.1182744,80.1015427,Ponnu Super Bazaar,13.115561828668834,80.10383485625924,Shopping Mall
21,Avadi ,13.1182744,80.1015427,Avadi check post,13.119146153090162,80.09516783383053,Department Store
22,Pattabiram ,13.1228939,80.0611379234221,Modern Fast Food,13.121284741740276,80.06314301952702,Fast Food Restaurant
23,Pattabiram ,13.1228939,80.0611379234221,Pattabiram railway station,13.11935704033239,80.06488368529611,Platform
24,Pattabiram ,13.1228939,80.0611379234221,Heritage Fresh,13.120968,80.06638,Supermarket
25,Pattabiram ,13.1228939,80.0611379234221,Delight,13.118665222036253,80.06732274102721,Concert Hall
26,Thirunindravur ,13.1181,80.0336,Tirunindravur,13.124402580232035,80.0323017813216,Bus Station
27,Thirunindravur ,13.1181,80.0336,Alice Stores,13.124506454773929,80.02946324604142,Department Store
28,Thirunindravur ,13.1181,80.0336,Thiruninravur Railway Station,13.123825116219313,80.02841514798386,Train Station
29,Iyyappanthangal ,13.0381,80.1354,Subway,13.0388565,80.1336,Sandwich Place
30,Iyyappanthangal ,13.0381,80.1354,Cafe Coffee Day,13.036809299094218,80.14052691442001,Café
31,Iyyappanthangal ,13.0381,80.1354,KFC,13.036916624566757,80.14055675444082,Fast Food Restaurant
32,Iyyappanthangal ,13.0381,80.1354,Sri Ramchandra Medical College,13.037847837908936,80.14358614969649,Hospital
33,Iyyappanthangal ,13.0381,80.1354,Iyyapanthangal Depot,13.038205192508826,80.13546289587087,Bus Station
34,Iyyappanthangal ,13.0381,80.1354,les Croissants,13.039184889070667,80.13153183714111,Bakery
35,Iyyappanthangal ,13.0381,80.1354,Pizza Corner,13.045140913288153,80.13392538810105,Pizza Place
36,Iyyappanthangal ,13.0381,80.1354,SRMC Canteen,13.03858012660277,80.14388598662178,Vegetarian / Vegan Restaurant
37,Iyyappanthangal ,13.0381,80.1354,Aiyanar Bhavan Veg Hotel,13.040988901583853,80.12719165195588,Indian Restaurant
38,Iyyappanthangal ,13.0381,80.1354,adyar bakery,13.046271917035005,80.13786724108637,Bakery
39,Kattupakkam ,13.0410957,80.127076,Subway,13.0388565,80.1336,Sandwich Place
40,Kattupakkam ,13.0410957,80.127076,Aiyanar Bhavan Veg Hotel,13.040988901583853,80.12719165195588,Indian Restaurant
41,Kattupakkam ,13.0410957,80.127076,les Croissants,13.039184889070667,80.13153183714111,Bakery
42,Kattupakkam ,13.0410957,80.127076,Akshaya Bhavan,13.03977375014019,80.13201830706255,Indian Restaurant
43,Kattupakkam ,13.0410957,80.127076,Pizza Corner,13.045140913288153,80.13392538810105,Pizza Place
44,Kattupakkam ,13.0410957,80.127076,Iyyapanthangal Depot,13.038205192508826,80.13546289587087,Bus Station
45,Poonamallee,13.0781151,80.2463768,Shree Mithai,13.07211832463662,80.24786485275499,Indian Restaurant
46,Poonamallee,13.0781151,80.2463768,Fu Silli Reasons,13.081988996776001,80.24850994348525,Italian Restaurant
47,Poonamallee,13.0781151,80.2463768,Links,13.079985797801971,80.25460515237084,Snack Place
48,Poonamallee,13.0781151,80.2463768,Domino's Pizza,13.080169925548274,80.24998773838092,Pizza Place
49,Poonamallee,13.0781151,80.2463768,Bombaysthan,13.08286572633396,80.2417498159633,Frozen Yogurt Shop
50,Poonamallee,13.0781151,80.2463768,Subway,13.077176313169012,80.23981311988506,Sandwich Place
51,Poonamallee,13.0781151,80.2463768,McDonald's,13.08348133803675,80.24019120180878,Fast Food Restaurant
52,Poonamallee,13.0781151,80.2463768,Nizam pan shop-bhai kadai,13.079295126292015,80.23729054747912,Daycare
53,Poonamallee,13.0781151,80.2463768,Fruit Shop On Greams Road,13.08356164889513,80.24192529279769,Juice Bar
54,Poonamallee,13.0781151,80.2463768,Grand sweets & snacks,13.071595292662016,80.25017061628022,Indian Restaurant
55,Poonamallee,13.0781151,80.2463768,Hotel Paramount,13.081575892775943,80.24762102253372,Indian Restaurant
56,Poonamallee,13.0781151,80.2463768,Murugan Idly Shop,13.081532563091287,80.24792036737513,Indian Restaurant
57,Poonamallee,13.0781151,80.2463768,The Pride Hotel,13.079172828206788,80.24894353367715,Hotel
58,Poonamallee,13.0781151,80.2463768,Parfait 3,13.080339320743917,80.24403260160167,Café
59,Poonamallee,13.0781151,80.2463768,Baskin Robbins,13.083385159201107,80.24340640418941,Ice Cream Shop
60,Poonamallee,13.0781151,80.2463768,Murugan Idli Kadai,13.081294765256914,80.24801347551893,Indian Restaurant
61,Poonamallee,13.0781151,80.2463768,Sangam Cinemas,13.078769703051144,80.2493523706686,Multiplex
62,Poonamallee,13.0781151,80.2463768,Reliance Footprint,13.078083279636214,80.24715262942259,Shoe Store
