,Neighbourhood,Suburbs,Latitude,Longitude
0,Pazhaverkadu ,Northern Suburbs,13.4176606,80.3166702
1,Ponneri ,Northern Suburbs,13.336164,80.1948281
2,Athipattu ,Northern Suburbs,13.2488,80.3046
3,Sholavaram ,Northern Suburbs,13.2387775,80.1622181
4,Minjur ,Northern Suburbs,13.2786146,80.2577671
5,Red Hills ,Northern Suburbs,13.175295,80.2031341
6,Ennore,Northern Suburbs,13.2258262,80.3243551
7,Avadi ,Western Suburbs,13.1182744,80.1015427
8,Pattabiram ,Western Suburbs,13.1228939,80.0611379234221
9,Thirunindravur ,Western Suburbs,13.1181,80.0336
10,Iyyappanthangal ,Western Suburbs,13.0381,80.1354
11,Kattupakkam ,Western Suburbs,13.0410957,80.127076
12,Poonamallee,Western Suburbs,13.0781151,80.2463768
13,Anakaputhur ,South -Western Suburbs,12.9806162,80.1297551
14,Kundrathur ,South -Western Suburbs,12.9957704,80.0973114
15,Mangadu ,South -Western Suburbs,13.027,80.1107
16,Thiruneermalai ,South -Western Suburbs,12.9581,80.1192
17,Thirumudivakkam ,South -Western Suburbs,12.9646786,80.0817377
18,Keelkattalai ,South -Western Suburbs,12.9556,80.1869
19,Chitlapakkam ,South -Western Suburbs,12.937,80.1389
20,Chembarambakkam ,South -Western Suburbs,13.0156505,80.0856148
21,Selaiyur ,South -Western Suburbs,12.9068,80.1425
22,Madambakkam ,South -Western Suburbs,12.9057186,80.1543859
23,Medavakkam ,South -Western Suburbs,12.9229928,80.1882897
24,Sithalapakkam ,South -Western Suburbs,12.8917047,80.1851133
25,Kovilambakkam ,South -Western Suburbs,12.9437,80.1862
26,Nanmangalam ,South -Western Suburbs,12.926938,80.198254
27,Tambaram ,South -Western Suburbs,12.9299028,80.1118231
28,Ullagaram ,South -Western Suburbs,12.9765868,80.1967196
29,Urapakkam ,South -Western Suburbs,12.8674,80.0699
30,Madipakkam ,South -Western Suburbs,12.9611348,80.2001292
31,Vandalur ,South -Western Suburbs,12.8921486,80.0829603
32,Guduvancherry,South -Western Suburbs,13.0801721,80.2838331
33,Karapakkam ,Suburbs along ECR and OMR of Chennai,12.9117073,80.2277203
34,Kanathur ,Suburbs along ECR and OMR of Chennai,12.8505026,80.2411932
35,Muttukadu ,Suburbs along ECR and OMR of Chennai,12.8221,80.2405
36,Kelambakkam ,Suburbs along ECR and OMR of Chennai,12.7871437,80.219987
37,Kovalam ,Suburbs along ECR and OMR of Chennai,12.787,80.2504
38,Siruseri,Suburbs along ECR and OMR of Chennai,12.8350258,80.2031094
