,Neighbourhood,Suburbs,Latitude,Longitude
0, Andheri ,Western Suburbs,19.1196976,72.8464205
1, Bandra ,Western Suburbs,19.0549792,72.8402203
2, Borivali ,Western Suburbs,19.229068,72.8573628
3, Dahisar ,Western Suburbs,19.2571784,72.8575361
4,Goregaon ,Western Suburbs,19.1647526,72.8500176
5,Jogeshwari ,Western Suburbs,19.1348994,72.8488199
6, Juhu ,Western Suburbs,19.1070215,72.8275275
7, Kandivali west ,Western Suburbs,19.2083801,72.842227
8,Khar  ,Western Suburbs,19.0724575,72.8337068
9,Malad  ,Western Suburbs,19.1867193,72.8485884
10,Santacruz  ,Western Suburbs,19.0815223,72.8417565
11,Vasai   ,Western Suburbs,19.440284,72.8786563
12,Virar  ,Western Suburbs,19.440284,72.8786563
13,Vile Parle,Western Suburbs,19.1002887,72.8417618
14,Bhandup ,Eastern Suburbs,19.1438684,72.9384327
15,Ghatkopar ,Eastern Suburbs,19.0859539,72.9082381
16,Kanjurmarg ,Eastern Suburbs,19.1296868,72.9283701
17,Kurla  ,Eastern Suburbs,19.0652797,72.8793805
18,Mulund ,Eastern Suburbs,19.1722904,72.9564695
19,Powai ,Eastern Suburbs,19.1187195,72.9073476
20,Vidyavihar ,Eastern Suburbs,19.0796294,72.8974906700789
21,Vikhroli,Eastern Suburbs,19.1114795,72.928021
22, Chembur ,Harbour Suburbs,19.0612128,72.8975909
23,Govandi ,Harbour Suburbs,19.0553688,72.9150702
24,Mankhurd  ,Harbour Suburbs,19.0485178,72.9323356
25,Trombay,Harbour Suburbs,19.037,72.9464
26, Antop Hill ,South Mumbai,19.0207608,72.8652556
27,Byculla,South Mumbai,18.9766219,72.8327936
28,Colaba,South Mumbai,18.915091,72.8259691
29,Dadar,South Mumbai,19.019282,72.8428757
30,Girgaon,South Mumbai,18.9543165,72.8179082
31,Kalbadevi,South Mumbai,18.9492575,72.8279382
32,Kamathipura,South Mumbai,18.9653224,72.8264349
33,Matunga,South Mumbai,19.0274356,72.8501467
34,Parel,South Mumbai,19.0094817,72.8376614
35,Tardeo,South Mumbai,18.9672753,72.8221514
